time,actual x,actual y,actual z,actual R,actual P,actual Y
0,0.431753,-0.60346,1.38622,-0.000116187,0.0181606,-1.63681
0.02,0.431753,-0.60346,1.38622,-0.000116187,0.0181606,-1.63681
0.104,0.432291,-0.601965,1.38313,-0.000220019,0.0370372,-1.63673
0.197,0.432168,-0.601541,1.38206,-0.000243525,0.0424816,-1.63758
0.289,0.432953,-0.602328,1.38214,-0.000197793,0.0414633,-1.63652
0.3,0.432953,-0.602328,1.38214,-0.000197793,0.0414633,-1.63652
0.32,0.432953,-0.602328,1.38214,-0.000197793,0.0414633,-1.63652
0.405,0.432982,-0.602155,1.38287,-0.000203808,0.0369939,-1.63716
0.493,0.432971,-0.601889,1.38244,-0.000258522,0.0385163,-1.63707
0.541,0.433189,-0.602311,1.38338,-0.000220685,0.0353907,-1.63657
0.6,0.433139,-0.601679,1.38112,-0.000236181,0.0448597,-1.63709
0.601,0.433139,-0.601679,1.38112,-0.000236181,0.0448597,-1.63709
0.62,0.433139,-0.601679,1.38112,-0.000236181,0.0448597,-1.63709
0.707,0.433168,-0.602309,1.38269,-0.000209486,0.0373208,-1.6375
0.795,0.432968,-0.601789,1.38168,-0.000230232,0.0420672,-1.63713
0.883,0.433383,-0.602248,1.38274,-0.000187974,0.0383507,-1.63645
0.94,0.432458,-0.601663,1.38205,-0.000264493,0.0409961,-1.63828
0.96,0.432458,-0.601663,1.38205,-0.000264493,0.0409961,-1.63828
1.047,0.432838,-0.601932,1.38396,-0.000183831,0.0341501,-1.63716
1.139,0.432739,-0.601924,1.38237,-0.000219431,0.0409761,-1.63794
1.227,0.432653,-0.601883,1.38184,-0.000254614,0.0412824,-1.63786
1.24,0.433051,-0.602083,1.38221,-0.000223585,0.041325,-1.63707
1.26,0.433051,-0.602083,1.38221,-0.000223585,0.041325,-1.63707
1.344,0.432982,-0.602236,1.383,-0.00018651,0.036378,-1.63721
1.4,0.432739,-0.60225,1.3834,-0.000225495,0.034227,-1.63719
1.42,0.43299,-0.601891,1.38156,-0.000276889,0.0425941,-1.63694
1.511,0.432817,-0.602123,1.38375,-0.000230275,0.0336888,-1.63725
1.599,0.43287,-0.601856,1.38222,-0.000284392,0.0396081,-1.63717
1.687,0.432785,-0.601875,1.38166,-0.000297568,0.0415645,-1.63757
1.7,0.433086,-0.602128,1.38256,-0.000236059,0.0397863,-1.6371
1.72,0.433086,-0.602128,1.38256,-0.000236059,0.0397863,-1.6371
1.815,0.432788,-0.602154,1.38352,-0.00023481,0.0336641,-1.63725
1.906,0.433039,-0.602177,1.3828,-0.000243901,0.0371418,-1.63704
1.96,0.432834,-0.601966,1.38216,-0.000272237,0.0391935,-1.63741
1.98,0.432957,-0.60173,1.38063,-0.000328894,0.0455265,-1.63743
2.07,0.43279,-0.602145,1.38318,-0.000207184,0.036058,-1.63762
2.162,0.433085,-0.602094,1.38303,-0.000281669,0.0375727,-1.63722
2.22,0.432814,-0.601856,1.3819,-0.000264939,0.0395724,-1.63717
2.24,0.432752,-0.601504,1.38104,-0.000313984,0.0443607,-1.63787
