time,actual x,actual y,actual z,actual R,actual P,actual Y
0.016,1.28476,0.0741749,1.38599,-0.000149753,0.0191304,0.0387641
0.036,1.28476,0.0741749,1.38599,-0.000149753,0.0191304,0.0387641
0.076,1.2831,0.0737593,1.38118,-0.000284315,0.0409358,0.0375547
0.164,1.28293,0.0736731,1.38232,-0.000268982,0.0396942,0.037831
0.256,1.28249,0.0733715,1.3811,-0.000331558,0.0444838,0.0374604
0.348,1.28236,0.0732786,1.38029,-0.000353288,0.0477912,0.0373371
0.356,1.28236,0.0732786,1.38029,-0.000353288,0.0477912,0.0373371
0.376,1.28295,0.073234,1.38331,-0.000261683,0.0359166,0.0379798
0.464,1.2833,0.0737735,1.38319,-0.000275253,0.0344095,0.0383168
0.556,1.28266,0.0732771,1.38141,-0.000386,0.0425079,0.0374215
0.647,1.28244,0.0731252,1.38017,-0.000428984,0.047552,0.0370448
0.676,1.28298,0.0732492,1.38335,-0.000303639,0.0357693,0.0379772
0.677,1.28298,0.0732492,1.38335,-0.000303639,0.0357693,0.0379772
0.759,1.28315,0.0739476,1.38369,-0.000270082,0.0336158,0.0390783
0.816,1.28279,0.0737171,1.38199,-0.000365288,0.040159,0.0380166
0.836,1.28279,0.0737171,1.38199,-0.000365288,0.040159,0.0380166
0.923,1.28327,0.0733899,1.38291,-0.000228807,0.0351225,0.0382398
1.011,1.28279,0.0735413,1.38169,-0.000439389,0.0415899,0.0379015
1.099,1.28289,0.0736096,1.38246,-0.000425518,0.0394333,0.0382766
1.156,1.28252,0.0727862,1.38119,-0.00042392,0.042166,0.0367531
1.176,1.2824,0.0729616,1.3793,-0.000519857,0.0498731,0.0366372
1.266,1.28304,0.0740114,1.38325,-0.000399121,0.0367018,0.0383044
1.358,1.283,0.0734125,1.38282,-0.000389364,0.0373371,0.0380074
1.416,1.28269,0.0728607,1.38136,-0.000464168,0.0418134,0.0367999
1.436,1.28252,0.0730333,1.37994,-0.000556583,0.0474936,0.0367668
1.522,1.28336,0.0734613,1.38276,-0.00036979,0.0355337,0.0376533
1.614,1.2828,0.0733216,1.3821,-0.000457191,0.0405165,0.0376583
1.692,1.2825,0.073237,1.38064,-0.000576479,0.0462371,0.0373367
1.736,1.28275,0.073133,1.38264,-0.000464691,0.0386255,0.0374868
1.796,1.28256,0.0736311,1.38101,-0.000561661,0.0451991,0.0376649
1.816,1.28256,0.0736311,1.38101,-0.000561661,0.0451991,0.0376649
1.904,1.2832,0.0733671,1.38328,-0.000289865,0.034137,0.0381924
1.956,1.28284,0.0735113,1.38222,-0.000485287,0.0387429,0.0377258
1.976,1.28284,0.0735113,1.38222,-0.000485287,0.0387429,0.0377258
2.068,1.28306,0.07398,1.3829,-0.000409653,0.0378332,0.038342
2.155,1.28278,0.0733217,1.38186,-0.000505322,0.0409349,0.0378811
2.248,1.28299,0.0735022,1.38218,-0.00054794,0.0407276,0.0379971
2.256,1.28299,0.0735022,1.38218,-0.00054794,0.0407276,0.0379971
2.276,1.28299,0.0735022,1.38218,-0.00054794,0.0407276,0.0379971
2.363,1.28315,0.0740645,1.38272,-0.0003976,0.0369801,0.0388143
2.453,1.28266,0.0733271,1.38134,-0.00065013,0.0430366,0.0375518
2.546,1.2829,0.0733188,1.3822,-0.000556662,0.0410924,0.0379581
2.556,1.2829,0.0733188,1.3822,-0.000556662,0.0410924,0.0379581
2.576,1.2829,0.0733188,1.3822,-0.000556662,0.0410924,0.0379581
2.662,1.2832,0.0739715,1.38253,-0.000492977,0.0375684,0.0390523
2.75,1.28263,0.0729231,1.38145,-0.000604866,0.0431201,0.0378647
2.842,1.28295,0.073284,1.38266,-0.000643902,0.0391056,0.0379426
2.896,1.28277,0.0723892,1.38164,-0.000576933,0.0407163,0.0367837
2.916,1.28277,0.0723892,1.38164,-0.000576933,0.0407163,0.0367837
3,1.28302,0.0739468,1.38355,-0.000492715,0.0360741,0.0388163
3.056,1.28304,0.0734357,1.38229,-0.000556703,0.0383111,0.0383568
3.076,1.28304,0.0734357,1.38229,-0.000556703,0.0383111,0.0383568
3.165,1.28322,0.0738861,1.38334,-0.000445539,0.0348376,0.0394112
3.257,1.28275,0.073032,1.38151,-0.000646429,0.0422481,0.0380698
3.318,1.28279,0.072752,1.3819,-0.00066136,0.0404938,0.0371724
3.336,1.28279,0.072752,1.3819,-0.00066136,0.0404938,0.0371724
3.427,1.28299,0.073876,1.38307,-0.000532429,0.0372174,0.0383945
3.519,1.28298,0.0729768,1.38274,-0.000680209,0.0383254,0.0378706
3.576,1.28268,0.0723459,1.38164,-0.000680018,0.0417596,0.0370254
3.596,1.28268,0.0723459,1.38164,-0.000680018,0.0417596,0.0370254
3.687,1.28312,0.0735524,1.38349,-0.00049025,0.0342543,0.0388748
3.773,1.28276,0.0727569,1.38151,-0.000699723,0.0413596,0.0374744
3.817,1.28291,0.0729503,1.38282,-0.000707927,0.0381538,0.0376862
3.876,1.28253,0.0735948,1.38108,-0.00096747,0.0452819,0.037546
3.896,1.28253,0.0735948,1.38108,-0.00096747,0.0452819,0.037546
3.937,1.28285,0.0731623,1.38337,-0.000488854,0.0356955,0.0384692
4.024,1.28311,0.0731587,1.38333,-0.000629896,0.0350567,0.0382267
4.114,1.28256,0.0728428,1.38147,-0.000868666,0.0431286,0.0376457
4.207,1.28245,0.0724378,1.38132,-0.000852525,0.0436023,0.0372452
4.216,1.28277,0.0730669,1.38218,-0.000847865,0.0412485,0.038398
4.236,1.28277,0.0730669,1.38218,-0.000847865,0.0412485,0.038398
4.327,1.28308,0.0735255,1.38328,-0.000616676,0.0345586,0.0386569
4.415,1.28259,0.0729882,1.38169,-0.000865436,0.04186,0.0382479
4.507,1.28276,0.0729469,1.38224,-0.000912531,0.0412358,0.038096
4.516,1.28276,0.0729469,1.38224,-0.000912531,0.0412358,0.038096
4.536,1.28276,0.0729469,1.38224,-0.000912531,0.0412358,0.038096
4.627,1.28318,0.0735079,1.38326,-0.000701218,0.0345055,0.0384187
4.715,1.28258,0.0729755,1.38173,-0.000971065,0.0421449,0.0379368
4.806,1.28282,0.0730475,1.38218,-0.000957212,0.0411588,0.0380486
4.816,1.28282,0.0730475,1.38218,-0.000957212,0.0411588,0.0380486
4.836,1.28282,0.0730475,1.38218,-0.000957212,0.0411588,0.0380486
4.93,1.28314,0.0735138,1.38328,-0.000690276,0.034585,0.0385351
5.026,1.28282,0.072907,1.38247,-0.000978828,0.0394695,0.0377483
5.036,1.28282,0.072907,1.38247,-0.000978828,0.0394695,0.0377483
5.056,1.28282,0.072907,1.38247,-0.000978828,0.0394695,0.0377483
5.146,1.2831,0.0739155,1.38279,-0.000869945,0.0371313,0.0391072
5.238,1.28291,0.0728886,1.38292,-0.000967426,0.0377621,0.0379383
5.296,1.2826,0.0726464,1.38151,-0.00109811,0.0421126,0.0374314
5.316,1.2826,0.0726464,1.38151,-0.00109811,0.0421126,0.0374314
5.406,1.28282,0.074095,1.38326,-0.000944576,0.0377004,0.0387776
5.498,1.28295,0.0729624,1.38289,-0.000957079,0.0378034,0.0380962
5.556,1.28269,0.0725685,1.38208,-0.0010392,0.0404539,0.0373497
5.576,1.28269,0.0725685,1.38208,-0.0010392,0.0404539,0.0373497
5.666,1.28283,0.0739414,1.38315,-0.00100801,0.0376578,0.0384727
5.758,1.28262,0.073103,1.38187,-0.00113578,0.0416016,0.0384324
5.816,1.28265,0.07264,1.38169,-0.00115441,0.0416188,0.0372543
5.836,1.28265,0.07264,1.38169,-0.00115441,0.0416188,0.0372543
5.922,1.28283,0.0741653,1.38329,-0.0010306,0.0376137,0.0389139
6.01,1.28266,0.0727661,1.38154,-0.00119467,0.0423738,0.0377356
6.097,1.28292,0.0731311,1.38284,-0.00105577,0.0385635,0.0385287
6.156,1.2825,0.0723411,1.38129,-0.0012591,0.0435185,0.0367294
6.176,1.2825,0.0723411,1.38129,-0.0012591,0.0435185,0.0367294
6.265,1.28286,0.0739941,1.38338,-0.00100066,0.0369098,0.0385836
6.353,1.28274,0.0729218,1.38179,-0.00136258,0.0419712,0.0375738
6.445,1.28288,0.0731421,1.3825,-0.00127419,0.0401097,0.0383891
6.456,1.28288,0.0731421,1.3825,-0.00127419,0.0401097,0.0383891
6.476,1.28288,0.0731421,1.3825,-0.00127419,0.0401097,0.0383891
6.561,1.28313,0.0735494,1.38342,-0.000940823,0.0344743,0.038698
6.652,1.28278,0.0729586,1.3824,-0.00128142,0.0403344,0.0380303
6.74,1.28247,0.0727867,1.38104,-0.00161168,0.0456919,0.03769
6.796,1.28291,0.0726772,1.38354,-0.000935081,0.0355749,0.0381291
6.816,1.2824,0.0727861,1.38078,-0.00164203,0.0464433,0.0374405
6.907,1.28317,0.0730859,1.38304,-0.00100255,0.035251,0.037898
7.003,1.28266,0.0727294,1.38178,-0.00143358,0.0422999,0.0375805
7.056,1.28303,0.0728714,1.38347,-0.00099512,0.035386,0.0383404
7.076,1.28253,0.0726301,1.38061,-0.00168429,0.0463488,0.0372114
7.163,1.28305,0.0735507,1.3837,-0.00092138,0.0339698,0.0389294
7.247,1.28273,0.0727342,1.38211,-0.00138894,0.0410226,0.0373241
7.334,1.28257,0.0728253,1.38133,-0.00174657,0.0445983,0.0371409
7.422,1.28247,0.0728574,1.3803,-0.00201236,0.048044,0.0369778
7.436,1.28247,0.0728574,1.3803,-0.00201236,0.048044,0.0369778
7.436,1.28247,0.0728574,1.3803,-0.00201236,0.048044,0.0369778
7.456,1.28299,0.0728645,1.38393,-0.000979552,0.0340034,0.0384892
7.545,1.28305,0.073212,1.38337,-0.00110016,0.0345201,0.0377522
7.637,1.28267,0.0730748,1.38214,-0.00155705,0.0415875,0.0381673
7.696,1.28301,0.0730172,1.38317,-0.00122423,0.0364591,0.0380842
7.716,1.28256,0.0728569,1.38133,-0.00179383,0.0440849,0.0373053
7.804,1.2831,0.0730886,1.38316,-0.00104505,0.0352189,0.0379966
7.836,1.28285,0.0731434,1.3825,-0.00127869,0.0384496,0.0384097
7.836,1.28285,0.0731434,1.3825,-0.00127869,0.0384496,0.0384097
7.925,1.28307,0.0730578,1.38333,-0.00111721,0.0348179,0.0383979
8.013,1.28262,0.0726665,1.38201,-0.00167065,0.0417411,0.0377154
8.105,1.28286,0.0732313,1.38256,-0.00161297,0.0401937,0.0384752
8.116,1.28286,0.0732313,1.38256,-0.00161297,0.0401937,0.0384752
8.136,1.28307,0.0728126,1.38379,-0.00113581,0.0342783,0.0382863
